Player,Club,League,Group,Goals/90,Assists/90,(Goals+Assists)/90,Non-Penalty Goals/90,(Non-Penalty Goals + Assists)/90,Expected Goals/90,Expected Assists/90,(Expected Goals + Expected Assists)/90,Non-Penalty Expected Goals/90,(Non-Penalty Expected Goals + Expected Assists)/90,Progressive Carries,Progressive Passes,Progressive Passes Received
Pervis Estupiñán,Brighton,Premier League,Defender,0.04,0.04,0.07,0.04,0.07,0.04,0.08,0.12,0.04,0.12,59,132,112
Evanilson,Bournemouth,Premier League,Attacker,0.39,0.04,0.43,0.39,0.43,0.48,0.07,0.56,0.45,0.53,29,28,99
Edu Expósito,Espanyol,La Liga,Midfielder,0.0,0.17,0.17,0.0,0.17,0.09,0.27,0.36,0.09,0.36,23,64,41
Eberechi Eze,Crystal Palace,Premier League,Midfielder,0.28,0.28,0.56,0.24,0.52,0.36,0.22,0.58,0.31,0.53,69,97,153
Abde Ezzalzouli,Betis,La Liga,Attacker,0.09,0.09,0.18,0.09,0.18,0.36,0.09,0.46,0.33,0.42,117,68,215
Giovanni Fabbian,Bologna,Serie A,Midfielder,0.26,0.09,0.35,0.26,0.35,0.21,0.12,0.32,0.21,0.32,14,17,43
Alieu Fadera,Como,Serie A,Attacker,0.05,0.16,0.22,0.05,0.22,0.09,0.22,0.31,0.09,0.31,74,36,160
Wout Faes,Leicester City,Premier League,Defender,0.03,0.0,0.03,0.03,0.03,0.05,0.0,0.05,0.05,0.05,12,86,1
Nicolò Fagioli,Fiorentina,Serie A,Midfielder,0.09,0.19,0.28,0.09,0.28,0.05,0.28,0.32,0.05,0.32,15,50,19
Khalil Fayad,Montpellier,Ligue 1,Midfielder,0.0,0.0,0.0,0.0,0.0,0.11,0.02,0.13,0.11,0.13,25,50,42
Jacopo Fazzini,Empoli,Serie A,Midfielder,0.26,0.07,0.33,0.26,0.33,0.2,0.03,0.23,0.2,0.23,34,49,88
Mattia Felici,Cagliari,Serie A,Midfielder,0.0,0.29,0.29,0.0,0.29,0.06,0.1,0.16,0.06,0.16,39,19,75
Kiko Femenía,Villarreal,La Liga,Defender,0.0,0.04,0.04,0.0,0.04,0.01,0.05,0.07,0.01,0.07,52,112,44
Lewis Ferguson,Bologna,Serie A,Midfielder,0.09,0.09,0.18,0.0,0.09,0.09,0.1,0.19,0.02,0.12,20,53,26
Bruno Fernandes,Manchester Utd,Premier League,Midfielder,0.24,0.3,0.54,0.15,0.45,0.3,0.25,0.55,0.23,0.48,77,325,129
Mateus Fernandes,Southampton,Premier League,Midfielder,0.06,0.12,0.19,0.06,0.19,0.12,0.09,0.22,0.12,0.22,76,145,108
Edimilson Fernandes,Brest,Ligue 1,Midfielder,0.0,0.08,0.08,0.0,0.08,0.03,0.05,0.08,0.03,0.08,7,40,3
