Player,Club,League,Group,Goals/90,Assists/90,(Goals+Assists)/90,Non-Penalty Goals/90,(Non-Penalty Goals + Assists)/90,Expected Goals/90,Expected Assists/90,(Expected Goals + Expected Assists)/90,Non-Penalty Expected Goals/90,(Non-Penalty Expected Goals + Expected Assists)/90,Progressive Carries,Progressive Passes,Progressive Passes Received
Henrikh Mkhitaryan,Inter,Serie A,Midfielder,0.04,0.15,0.19,0.04,0.19,0.06,0.1,0.16,0.06,0.16,72,199,93
Luka Modrić,Real Madrid,La Liga,Midfielder,0.1,0.3,0.39,0.1,0.39,0.08,0.34,0.42,0.08,0.42,62,208,63
Mostafa Mohamed,Nantes,Ligue 1,Attacker,0.36,0.0,0.36,0.36,0.36,0.4,0.03,0.43,0.4,0.43,11,20,50
Johan Mojica,Mallorca,La Liga,Defender,0.03,0.07,0.1,0.03,0.1,0.03,0.13,0.16,0.03,0.16,66,130,142
Alberto Moleiro,Las Palmas,La Liga,Attacker,0.2,0.03,0.23,0.2,0.23,0.19,0.11,0.3,0.19,0.3,97,116,179
Nahuel Molina,Atlético Madrid,La Liga,Defender,0.0,0.17,0.17,0.0,0.17,0.05,0.08,0.13,0.05,0.13,35,61,96
Jon Moncayola,Osasuna,La Liga,Midfielder,0.0,0.0,0.0,0.0,0.0,0.07,0.16,0.23,0.07,0.23,25,107,51
Álvaro Morata,Milan,Serie A,Attacker,0.41,0.0,0.41,0.41,0.41,0.32,0.07,0.39,0.32,0.39,18,26,63
Morato,Nott'ham Forest,Premier League,Defender,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,1,19,1
Diego Moreira,Strasbourg,Ligue 1,Defender,0.07,0.25,0.32,0.07,0.32,0.07,0.25,0.33,0.07,0.33,99,87,245
Alberto Moreno,Como,Serie A,Defender,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.08,0.02,0.08,23,81,58
Álex Moreno,Nott'ham Forest,Premier League,Defender,0.0,0.09,0.09,0.0,0.09,0.02,0.12,0.13,0.02,0.13,26,34,34
Tete Morente,Lecce,Serie A,Attacker,0.13,0.09,0.22,0.13,0.22,0.13,0.07,0.2,0.13,0.2,48,102,144
Ilaix Moriba,Celta Vigo,La Liga,Midfielder,0.04,0.04,0.08,0.04,0.08,0.07,0.06,0.14,0.07,0.14,34,119,64
Manu Morlanes,Mallorca,La Liga,Midfielder,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,16,88,39
Nikola Moro,Bologna,Serie A,Midfielder,0.0,0.15,0.15,0.0,0.15,0.04,0.06,0.1,0.04,0.1,17,93,21
Raúl Moro,Valladolid,La Liga,Midfielder,0.15,0.19,0.35,0.15,0.35,0.16,0.22,0.38,0.16,0.38,112,81,190
Sam Morsy,Ipswich Town,Premier League,Midfielder,0.03,0.03,0.07,0.03,0.07,0.01,0.04,0.05,0.01,0.05,22,120,13
Cristhian Mosquera,Valencia,La Liga,Defender,0.03,0.0,0.03,0.03,0.03,0.01,0.0,0.01,0.01,0.01,35,123,6
Daniel Mosquera,Hellas Verona,Serie A,Attacker,0.33,0.07,0.39,0.33,0.39,0.44,0.08,0.52,0.44,0.52,17,25,83
Dany Mota,Monza,Serie A,Attacker,0.21,0.09,0.3,0.21,0.3,0.22,0.08,0.29,0.22,0.29,53,47,139
Yael Mouanga,Montpellier,Ligue 1,Defender,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,4,22,2
Aimen Moueffek,Saint-Étienne,Ligue 1,Midfielder,0.0,0.09,0.09,0.0,0.09,0.09,0.1,0.19,0.09,0.19,20,43,31
Santiago Mouriño,Alavés,La Liga,Defender,0.0,0.05,0.05,0.0,0.05,0.05,0.04,0.09,0.05,0.09,14,46,1
Louis Mouton,Saint-Étienne,Ligue 1,Midfielder,0.0,0.09,0.09,0.0,0.09,0.11,0.11,0.22,0.11,0.22,18,54,51
Randal Kolo Muani,Juventus,Serie A,Attacker,0.62,0.08,0.7,0.54,0.62,0.36,0.12,0.49,0.3,0.43,21,20,100
Ngal'Ayel Mukau,Lille,Ligue 1,Midfielder,0.0,0.08,0.08,0.0,0.08,0.06,0.05,0.11,0.06,0.11,19,57,43
Abdul Mumin,Rayo Vallecano,La Liga,Defender,0.09,0.04,0.13,0.09,0.13,0.03,0.01,0.03,0.03,0.03,12,40,6
Marshall Munetsi,Reims,Ligue 1,Midfielder,0.21,0.11,0.32,0.21,0.32,0.21,0.11,0.32,0.21,0.32,8,26,48
Rodrigo Muniz,Fulham,Premier League,Attacker,0.75,0.09,0.84,0.75,0.84,0.54,0.07,0.61,0.54,0.61,6,27,31
Michael Amir Murillo,Marseille,Ligue 1,Defender,0.04,0.11,0.15,0.04,0.15,0.06,0.12,0.18,0.06,0.18,43,140,100
Murillo,Nott'ham Forest,Premier League,Defender,0.06,0.0,0.06,0.06,0.06,0.04,0.03,0.07,0.04,0.07,22,115,5
Vedat Muriqi,Mallorca,La Liga,Attacker,0.31,0.09,0.39,0.22,0.31,0.42,0.1,0.52,0.32,0.41,23,30,103
Jacob Murphy,Newcastle Utd,Premier League,Attacker,0.31,0.46,0.76,0.31,0.76,0.22,0.34,0.56,0.22,0.56,79,83,231
Yunus Musah,Milan,Serie A,Midfielder,0.0,0.11,0.11,0.0,0.11,0.11,0.1,0.22,0.11,0.22,51,84,74
Jamal Musiala,Bayern Munich,Bundesliga,Midfielder,0.6,0.1,0.7,0.6,0.7,0.46,0.23,0.69,0.46,0.69,71,107,156
Daniel Muñoz,Crystal Palace,Premier League,Defender,0.11,0.14,0.25,0.11,0.25,0.14,0.15,0.29,0.14,0.29,62,97,206
Aihen Muñoz,Real Sociedad,La Liga,Defender,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.01,0.04,26,38,28
Álex Muñoz,Las Palmas,La Liga,Defender,0.19,0.0,0.19,0.19,0.19,0.05,0.03,0.09,0.05,0.09,15,45,53
Javier Muñoz,Las Palmas,La Liga,Midfielder,0.03,0.1,0.14,0.03,0.14,0.04,0.09,0.13,0.04,0.13,36,108,91
Junior Mwanga,Le Havre,Ligue 1,Midfielder,0.09,0.19,0.28,0.09,0.28,0.12,0.1,0.22,0.12,0.22,15,42,15
Phillipp Mwene,Mainz 05,Bundesliga,Defender,0.03,0.14,0.17,0.03,0.17,0.05,0.06,0.12,0.05,0.12,62,106,144
Vitaliy Mykolenko,Everton,Premier League,Defender,0.03,0.06,0.09,0.03,0.09,0.01,0.08,0.09,0.01,0.09,33,110,99
Mika Mármol,Las Palmas,La Liga,Defender,0.0,0.04,0.04,0.0,0.04,0.02,0.06,0.07,0.02,0.07,33,106,62
Joakim Mæhle,Wolfsburg,Bundesliga,Defender,0.12,0.16,0.29,0.12,0.29,0.08,0.09,0.18,0.08,0.18,59,88,117
Brais Méndez,Real Sociedad,La Liga,Midfielder,0.18,0.12,0.29,0.18,0.29,0.21,0.12,0.33,0.21,0.33,32,91,86
Thomas Müller,Bayern Munich,Bundesliga,Midfielder,0.07,0.29,0.37,0.07,0.37,0.28,0.21,0.49,0.28,0.49,24,50,143
Obite N'Dicka,Roma,Serie A,Defender,0.0,0.03,0.03,0.0,0.03,0.03,0.02,0.05,0.03,0.05,29,107,5
Stanley N'Soki,Hoffenheim,Bundesliga,Defender,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.03,0.01,0.03,10,52,6
Mickael Nade,Saint-Étienne,Ligue 1,Defender,0.04,0.08,0.12,0.04,0.12,0.03,0.02,0.05,0.03,0.05,17,72,2
Keito Nakamura,Reims,Ligue 1,Attacker,0.37,0.07,0.44,0.37,0.44,0.31,0.1,0.41,0.31,0.41,90,82,197
Sebastian Nanasi,Strasbourg,Ligue 1,Midfielder,0.26,0.17,0.43,0.26,0.43,0.28,0.21,0.49,0.28,0.49,53,126,127
Matija Nastasić,Leganés,La Liga,Defender,0.04,0.0,0.04,0.04,0.04,0.0,0.01,0.01,0.0,0.01,1,59,0
Natan,Betis,La Liga,Defender,0.04,0.04,0.08,0.04,0.08,0.01,0.03,0.04,0.01,0.04,12,52,6
Roberto Navarro,Mallorca,La Liga,Midfielder,0.07,0.0,0.07,0.07,0.07,0.14,0.14,0.28,0.14,0.28,45,51,85
Pau Navarro,Villarreal,La Liga,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,40,7
Youssouf Ndayishimiye,Nice,Ligue 1,Defender,0.14,0.0,0.14,0.14,0.14,0.04,0.01,0.05,0.04,0.05,17,86,9
Abdoulaye Niakhate Ndiaye,Brest,Ligue 1,Defender,0.05,0.0,0.05,0.05,0.05,0.05,0.0,0.05,0.05,0.05,5,39,4
Iliman Ndiaye,Everton,Premier League,Attacker,0.33,0.0,0.33,0.26,0.26,0.23,0.07,0.3,0.17,0.24,86,59,122
Rassoul Ndiaye,Le Havre,Ligue 1,Midfielder,0.08,0.0,0.08,0.08,0.08,0.15,0.05,0.2,0.15,0.2,6,46,30
Wilfred Ndidi,Leicester City,Premier League,Midfielder,0.0,0.19,0.19,0.0,0.19,0.08,0.07,0.15,0.08,0.15,18,70,75
Tanguy Ndombele,Nice,Ligue 1,Midfielder,0.08,0.16,0.24,0.08,0.24,0.19,0.19,0.38,0.19,0.38,22,61,36
Dan Ndoye,Bologna,Serie A,Attacker,0.34,0.17,0.5,0.25,0.42,0.29,0.16,0.45,0.23,0.39,132,74,231
Paul Nebel,Mainz 05,Bundesliga,Midfielder,0.38,0.15,0.54,0.38,0.54,0.22,0.16,0.38,0.22,0.38,67,91,219
Loïc Nego,Le Havre,Ligue 1,Defender,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.05,0.03,0.05,64,102,123
David Nemeth,St. Pauli,Bundesliga,Defender,0.0,0.04,0.04,0.0,0.04,0.01,0.01,0.01,0.01,0.01,14,65,5
David Neres,Napoli,Serie A,Attacker,0.14,0.28,0.42,0.14,0.42,0.19,0.25,0.43,0.19,0.43,73,32,143
Pedro Neto,Chelsea,Premier League,Attacker,0.16,0.24,0.4,0.16,0.4,0.14,0.27,0.4,0.14,0.4,126,60,253
Luca Netz,Gladbach,Bundesliga,Defender,0.0,0.19,0.19,0.0,0.19,0.02,0.18,0.2,0.02,0.2,16,28,55
João Neves,Paris S-G,Ligue 1,Midfielder,0.15,0.39,0.54,0.15,0.54,0.15,0.2,0.34,0.15,0.34,35,144,80
Yvan Neyou,Leganés,La Liga,Midfielder,0.04,0.04,0.08,0.04,0.08,0.03,0.03,0.05,0.03,0.05,24,96,30
Moussa Niakhate,Lyon,Ligue 1,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.0,0.04,34,111,5
Ibrahima Niane,Angers,Ligue 1,Attacker,0.29,0.1,0.38,0.19,0.29,0.55,0.1,0.64,0.47,0.57,19,9,50
Justin Njinmah,Werder Bremen,Bundesliga,Attacker,0.28,0.19,0.47,0.28,0.47,0.35,0.15,0.49,0.35,0.49,33,23,103
Eddie Nketiah,Crystal Palace,Premier League,Attacker,0.26,0.09,0.35,0.26,0.35,0.5,0.15,0.65,0.5,0.65,41,19,79
Christopher Nkunku,Chelsea,Premier League,Attacker,0.29,0.2,0.49,0.29,0.49,0.47,0.21,0.68,0.47,0.67,17,25,68
Felix Nmecha,Dortmund,Bundesliga,Midfielder,0.24,0.06,0.3,0.24,0.3,0.08,0.07,0.15,0.08,0.15,21,85,27
Arnaud Nordin,Montpellier,Ligue 1,Attacker,0.31,0.08,0.39,0.23,0.31,0.32,0.07,0.39,0.19,0.26,51,23,111
Robin Le Normand,Atlético Madrid,La Liga,Defender,0.04,0.0,0.04,0.04,0.04,0.06,0.02,0.08,0.06,0.08,11,55,6
Randy Nteka,Rayo Vallecano,La Liga,Attacker,0.24,0.0,0.24,0.24,0.24,0.21,0.04,0.25,0.21,0.25,10,8,44
Ernest Nuamah,Lyon,Ligue 1,Attacker,0.26,0.09,0.34,0.26,0.34,0.19,0.13,0.32,0.19,0.32,44,33,131
Matheus Nunes,Manchester City,Premier League,Defender,0.05,0.32,0.38,0.05,0.38,0.07,0.23,0.3,0.07,0.3,63,79,175
Antonio Nusa,RB Leipzig,Bundesliga,Midfielder,0.17,0.17,0.35,0.17,0.35,0.09,0.16,0.26,0.09,0.26,57,52,123
Rabby Nzingoula,Montpellier,Ligue 1,Midfielder,0.05,0.0,0.05,0.05,0.05,0.06,0.09,0.14,0.06,0.14,25,40,38
M'Bala Nzola,Lens,Ligue 1,Attacker,0.37,0.06,0.43,0.37,0.43,0.53,0.08,0.61,0.53,0.61,26,22,118
Christian Nørgaard,Brentford,Premier League,Midfielder,0.16,0.13,0.29,0.16,0.29,0.14,0.04,0.18,0.14,0.18,14,154,42
Darwin Núñez,Liverpool,Premier League,Attacker,0.4,0.16,0.56,0.4,0.56,0.46,0.1,0.57,0.46,0.57,23,27,78
Jake O'Brien,Everton,Premier League,Defender,0.11,0.0,0.11,0.11,0.11,0.04,0.03,0.08,0.04,0.08,7,50,25
Matt O'Riley,Brighton,Premier League,Midfielder,0.19,0.19,0.38,0.1,0.29,0.27,0.23,0.5,0.2,0.42,22,38,52
Dara O'Shea,Ipswich Town,Premier League,Defender,0.0,0.06,0.06,0.0,0.06,0.04,0.01,0.05,0.04,0.05,3,80,8
Adam Obert,Cagliari,Serie A,Defender,0.08,0.08,0.17,0.08,0.17,0.07,0.03,0.11,0.07,0.11,12,50,19
Jens Odgaard,Bologna,Serie A,Midfielder,0.28,0.05,0.32,0.28,0.32,0.17,0.08,0.25,0.17,0.25,35,50,99
Tim Oermann,Bochum,Bundesliga,Defender,0.0,0.08,0.08,0.0,0.08,0.01,0.02,0.03,0.01,0.03,15,61,16
Caleb Okoli,Leicester City,Premier League,Defender,0.08,0.0,0.08,0.08,0.08,0.05,0.0,0.05,0.05,0.05,3,32,2
Joseph Okumu,Reims,Ligue 1,Defender,0.05,0.0,0.05,0.05,0.05,0.05,0.01,0.06,0.05,0.06,18,116,1
Michael Olise,Bayern Munich,Bundesliga,Attacker,0.46,0.58,1.04,0.46,1.04,0.38,0.46,0.84,0.38,0.84,119,184,381
Mathías Olivera,Napoli,Serie A,Defender,0.0,0.08,0.08,0.0,0.08,0.04,0.07,0.11,0.04,0.11,46,126,62
Brian Oliván,Espanyol,La Liga,Defender,0.0,0.09,0.09,0.0,0.09,0.03,0.1,0.13,0.03,0.13,21,40,57
Dani Olmo,Barcelona,La Liga,Midfielder,0.74,0.22,0.97,0.59,0.82,0.48,0.22,0.7,0.37,0.59,33,81,97
Becir Omeragic,Montpellier,Ligue 1,Defender,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,21,51,3
Ado Onaiwu,Auxerre,Ligue 1,Midfielder,0.38,0.09,0.47,0.38,0.47,0.37,0.1,0.47,0.37,0.47,17,33,74
Amadou Onana,Aston Villa,Premier League,Midfielder,0.17,0.0,0.17,0.17,0.17,0.12,0.04,0.16,0.12,0.16,29,75,16
Paul Onuachu,Southampton,Premier League,Attacker,0.34,0.09,0.43,0.34,0.43,0.31,0.04,0.35,0.31,0.35,7,13,40
Frank Onyeka,Augsburg,Bundesliga,Midfielder,0.0,0.03,0.03,0.0,0.03,0.05,0.04,0.09,0.05,0.09,46,106,71
Loïs Openda,RB Leipzig,Bundesliga,Attacker,0.33,0.18,0.51,0.33,0.51,0.33,0.12,0.45,0.3,0.43,58,47,229
Christopher Operi,Le Havre,Ligue 1,Defender,0.0,0.15,0.15,0.0,0.15,0.02,0.17,0.19,0.02,0.19,28,52,65
Willi Orban,RB Leipzig,Bundesliga,Defender,0.2,0.0,0.2,0.2,0.2,0.16,0.04,0.2,0.16,0.2,15,106,8
Ivan Ordets,Bochum,Bundesliga,Defender,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.07,0.04,0.07,2,48,4
Gaetano Oristanio,Venezia,Serie A,Attacker,0.12,0.12,0.23,0.12,0.23,0.16,0.1,0.26,0.16,0.26,72,64,131
Aimar Oroz,Osasuna,La Liga,Midfielder,0.15,0.12,0.27,0.12,0.24,0.13,0.09,0.22,0.11,0.2,74,163,142
Riccardo Orsolini,Bologna,Serie A,Attacker,0.72,0.19,0.91,0.58,0.77,0.49,0.18,0.66,0.37,0.55,61,69,186
Gabriel Osho,Auxerre,Ligue 1,Defender,0.05,0.0,0.05,0.05,0.05,0.05,0.01,0.06,0.05,0.06,12,43,2
Patrick Osterhage,Freiburg,Bundesliga,Midfielder,0.04,0.0,0.04,0.04,0.04,0.07,0.06,0.12,0.07,0.12,26,73,50
Dango Ouattara,Bournemouth,Premier League,Attacker,0.31,0.18,0.49,0.31,0.49,0.38,0.25,0.62,0.38,0.62,79,43,191
Elisha Owusu,Auxerre,Ligue 1,Midfielder,0.04,0.12,0.15,0.04,0.15,0.01,0.04,0.05,0.01,0.05,8,78,33
Mikel Oyarzabal,Real Sociedad,La Liga,Attacker,0.36,0.12,0.48,0.2,0.32,0.4,0.1,0.5,0.27,0.37,31,28,133
Willian Pacho,Paris S-G,Ligue 1,Defender,0.0,0.04,0.04,0.0,0.04,0.01,0.01,0.02,0.01,0.02,3,53,1
Exequiel Palacios,Leverkusen,Bundesliga,Midfielder,0.08,0.47,0.55,0.08,0.55,0.12,0.18,0.3,0.12,0.3,15,97,40
Nicolas Pallois,Nantes,Ligue 1,Defender,0.0,0.09,0.09,0.0,0.09,0.02,0.02,0.04,0.02,0.04,6,52,5
Cole Palmer,Chelsea,Premier League,Midfielder,0.42,0.23,0.65,0.31,0.54,0.49,0.31,0.79,0.38,0.68,120,214,187
Emerson Palmieri,West Ham,Premier League,Defender,0.09,0.04,0.13,0.09,0.13,0.08,0.06,0.15,0.08,0.15,47,66,83
José Luis Palomino,Cagliari,Serie A,Defender,0.08,0.0,0.08,0.08,0.08,0.04,0.0,0.04,0.04,0.04,4,35,1
Lucas Paquetá,West Ham,Premier League,Midfielder,0.15,0.0,0.15,0.08,0.08,0.2,0.12,0.32,0.14,0.26,26,155,85
Leandro Paredes,Roma,Serie A,Midfielder,0.2,0.07,0.26,0.07,0.13,0.15,0.1,0.25,0.05,0.15,17,106,14
Aitor Paredes,Athletic Club,La Liga,Defender,0.15,0.0,0.15,0.15,0.15,0.11,0.0,0.12,0.11,0.12,4,46,2
Daniel Parejo,Villarreal,La Liga,Midfielder,0.12,0.12,0.24,0.08,0.2,0.1,0.07,0.17,0.03,0.11,19,176,26
Fabiano Parisi,Fiorentina,Serie A,Defender,0.16,0.0,0.16,0.16,0.16,0.04,0.07,0.1,0.04,0.1,25,40,35
Thomas Partey,Arsenal,Premier League,Midfielder,0.13,0.06,0.19,0.13,0.19,0.07,0.07,0.14,0.07,0.14,36,185,48
Felix Passlack,Bochum,Bundesliga,Defender,0.04,0.23,0.27,0.04,0.27,0.05,0.15,0.2,0.05,0.2,43,65,118
Rodrigo De Paul,Atlético Madrid,La Liga,Midfielder,0.13,0.21,0.34,0.13,0.34,0.06,0.24,0.29,0.06,0.29,85,231,64
Benjamin Pavard,Inter,Serie A,Defender,0.0,0.06,0.06,0.0,0.06,0.03,0.05,0.08,0.03,0.08,13,92,26
Aleksandar Pavlovic,Bayern Munich,Bundesliga,Midfielder,0.06,0.0,0.06,0.06,0.06,0.03,0.01,0.05,0.03,0.05,15,128,33
Strahinja Pavlović,Milan,Serie A,Defender,0.1,0.05,0.14,0.1,0.14,0.09,0.05,0.14,0.09,0.14,40,94,10
Martín Payero,Udinese,Serie A,Midfielder,0.07,0.07,0.13,0.07,0.13,0.08,0.08,0.16,0.08,0.16,33,51,44
Nicolás Paz,Como,Serie A,Midfielder,0.2,0.27,0.47,0.2,0.47,0.31,0.2,0.51,0.28,0.49,77,163,171
Mario Pašalić,Atalanta,Serie A,Midfielder,0.14,0.18,0.32,0.14,0.32,0.3,0.15,0.45,0.26,0.42,44,149,68
Marcus Pedersen,Torino,Serie A,Defender,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.06,0.04,0.06,44,19,77
Pedri,Barcelona,La Liga,Midfielder,0.13,0.16,0.28,0.13,0.28,0.07,0.23,0.3,0.07,0.3,92,360,136
Pedro,Lazio,Serie A,Attacker,0.82,0.08,0.9,0.65,0.74,0.44,0.14,0.57,0.31,0.44,48,76,89
João Pedro,Brighton,Premier League,Attacker,0.46,0.28,0.74,0.23,0.51,0.41,0.23,0.64,0.23,0.46,66,78,128
Adrià Pedrosa,Sevilla,La Liga,Defender,0.04,0.04,0.08,0.04,0.08,0.04,0.06,0.1,0.04,0.1,41,79,96
Jordan Pefok,Union Berlin,Bundesliga,Attacker,0.0,0.1,0.1,0.0,0.1,0.32,0.09,0.4,0.32,0.4,3,12,40
Luca Pellegrini,Lazio,Serie A,Defender,0.0,0.34,0.34,0.0,0.34,0.06,0.15,0.2,0.06,0.2,21,72,61
Lorenzo Pellegrini,Roma,Serie A,Midfielder,0.11,0.06,0.17,0.06,0.11,0.26,0.14,0.4,0.22,0.35,27,61,82
Timothee Pembele,Le Havre,Ligue 1,Defender,0.08,0.0,0.08,0.08,0.08,0.1,0.01,0.11,0.1,0.11,27,43,44
Peque,Sevilla,La Liga,Midfielder,0.08,0.08,0.16,0.08,0.16,0.2,0.1,0.29,0.2,0.29,14,35,44
Andreas Pereira,Fulham,Premier League,Midfielder,0.09,0.18,0.27,0.09,0.27,0.17,0.21,0.38,0.14,0.34,29,104,81
Pedro Pereira,Monza,Serie A,Defender,0.03,0.1,0.14,0.03,0.14,0.04,0.05,0.1,0.04,0.1,52,66,107
Romain Perraud,Betis,La Liga,Defender,0.09,0.09,0.18,0.09,0.18,0.02,0.07,0.1,0.02,0.1,51,62,106
Gaëtan Perrin,Auxerre,Ligue 1,Midfielder,0.33,0.37,0.7,0.33,0.7,0.2,0.26,0.47,0.2,0.47,83,142,125
Máximo Perrone,Como,Serie A,Midfielder,0.0,0.15,0.15,0.0,0.15,0.04,0.11,0.15,0.04,0.15,16,98,19
Giuseppe Pezzella,Empoli,Serie A,Defender,0.0,0.09,0.09,0.0,0.09,0.02,0.14,0.16,0.02,0.16,77,80,143
Fabián Ruiz Peña,Paris S-G,Ligue 1,Midfielder,0.19,0.23,0.42,0.19,0.42,0.2,0.22,0.42,0.2,0.42,47,205,92
Kalvin Phillips,Ipswich Town,Premier League,Midfielder,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,4,51,4
Roberto Piccoli,Cagliari,Serie A,Attacker,0.29,0.03,0.32,0.26,0.29,0.37,0.03,0.39,0.34,0.37,30,37,165
Amos Pieper,Werder Bremen,Bundesliga,Defender,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.06,0.03,0.06,11,62,3
Marvin Pieringer,Heidenheim,Bundesliga,Attacker,0.29,0.16,0.45,0.16,0.33,0.36,0.16,0.53,0.27,0.43,23,59,115
Santiago Pierotti,Lecce,Serie A,Attacker,0.19,0.09,0.28,0.19,0.28,0.14,0.11,0.25,0.14,0.25,43,38,85
Balthazar Pierret,Lecce,Serie A,Midfielder,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,13,82,13
Andrea Pinamonti,Genoa,Serie A,Attacker,0.32,0.03,0.35,0.32,0.35,0.24,0.05,0.3,0.22,0.27,20,46,132
Ethan Pinnock,Brentford,Premier League,Defender,0.09,0.0,0.09,0.09,0.09,0.05,0.05,0.11,0.05,0.11,3,41,9
Yeremi Pino,Villarreal,La Liga,Midfielder,0.19,0.33,0.51,0.19,0.51,0.18,0.25,0.43,0.18,0.43,42,66,213
Niccolò Pisilli,Roma,Serie A,Midfielder,0.15,0.07,0.22,0.15,0.22,0.2,0.05,0.25,0.2,0.25,22,63,44
Alassane Pléa,Gladbach,Bundesliga,Midfielder,0.52,0.19,0.71,0.47,0.66,0.35,0.15,0.5,0.31,0.46,51,116,141
Tommaso Pobega,Bologna,Serie A,Midfielder,0.15,0.15,0.31,0.15,0.31,0.16,0.11,0.27,0.15,0.26,12,42,23
Joel Pohjanpalo,Venezia,Serie A,Attacker,0.34,0.0,0.34,0.17,0.17,0.42,0.09,0.51,0.24,0.33,9,29,72
Matteo Politano,Napoli,Serie A,Attacker,0.1,0.13,0.22,0.1,0.22,0.1,0.15,0.25,0.1,0.25,135,129,278
Marin Pongračić,Fiorentina,Serie A,Defender,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.03,0.01,0.03,7,34,5
Finn Porath,Holstein Kiel,Bundesliga,Defender,0.09,0.14,0.23,0.09,0.23,0.09,0.09,0.18,0.08,0.18,42,58,69
Pedro Porro,Tottenham,Premier League,Defender,0.07,0.21,0.28,0.07,0.28,0.05,0.17,0.23,0.05,0.23,65,154,109
Beñat Prados,Athletic Club,La Liga,Midfielder,0.05,0.0,0.05,0.05,0.05,0.05,0.06,0.11,0.05,0.11,20,78,32
Alexander Prass,Hoffenheim,Bundesliga,Defender,0.0,0.06,0.06,0.0,0.06,0.05,0.16,0.21,0.05,0.21,28,63,66
Enrico Del Prato,Parma,Serie A,Defender,0.12,0.0,0.12,0.12,0.12,0.06,0.04,0.1,0.06,0.1,8,81,31
Javi Puado,Espanyol,La Liga,Attacker,0.36,0.12,0.48,0.21,0.33,0.35,0.09,0.44,0.23,0.32,73,75,113
Christian Pulisic,Milan,Serie A,Attacker,0.4,0.33,0.73,0.29,0.62,0.44,0.23,0.67,0.32,0.55,121,105,191
Nicolas Pépé,Villarreal,La Liga,Attacker,0.18,0.36,0.54,0.18,0.54,0.23,0.29,0.52,0.23,0.52,76,60,159
Luis Pérez,Valladolid,La Liga,Defender,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.08,0.01,0.08,41,89,117
Carles Pérez,Getafe,La Liga,Midfielder,0.19,0.0,0.19,0.19,0.19,0.15,0.1,0.24,0.15,0.24,31,20,77
Ayoze Pérez,Villarreal,La Liga,Attacker,0.87,0.09,0.96,0.87,0.96,0.58,0.13,0.71,0.58,0.71,59,73,124
Kike Pérez,Valladolid,La Liga,Midfielder,0.15,0.0,0.15,0.15,0.15,0.16,0.08,0.24,0.16,0.24,19,67,28
Léo Pétrot,Saint-Étienne,Ligue 1,Defender,0.0,0.1,0.1,0.0,0.1,0.02,0.06,0.08,0.02,0.08,28,93,100
Leopold Querfeld,Union Berlin,Bundesliga,Defender,0.1,0.1,0.21,0.1,0.21,0.06,0.05,0.11,0.06,0.11,3,49,5
Dani Raba,Leganés,La Liga,Attacker,0.38,0.29,0.67,0.19,0.48,0.36,0.25,0.61,0.17,0.43,42,69,101
Adrien Rabiot,Marseille,Ligue 1,Midfielder,0.33,0.14,0.47,0.33,0.47,0.26,0.14,0.4,0.26,0.4,79,168,174
Hamza Rafia,Lecce,Serie A,Midfielder,0.0,0.0,0.0,0.0,0.0,0.04,0.12,0.16,0.04,0.16,13,51,32
Antonio Raillo,Mallorca,La Liga,Defender,0.06,0.0,0.06,0.06,0.06,0.06,0.05,0.1,0.06,0.1,31,108,20
Ylber Ramadani,Lecce,Serie A,Midfielder,0.05,0.05,0.1,0.05,0.1,0.03,0.06,0.09,0.03,0.09,9,60,7
Gonçalo Ramos,Paris S-G,Ligue 1,Attacker,0.84,0.25,1.1,0.68,0.93,1.15,0.18,1.33,0.95,1.13,11,24,63
Jacob Ramsey,Aston Villa,Premier League,Attacker,0.06,0.17,0.22,0.06,0.22,0.09,0.13,0.22,0.09,0.22,61,68,114
Sandro Ramírez,Las Palmas,La Liga,Attacker,0.4,0.13,0.53,0.35,0.49,0.18,0.15,0.33,0.15,0.29,52,52,121
Luca Ranieri,Fiorentina,Serie A,Defender,0.03,0.09,0.12,0.03,0.12,0.03,0.05,0.08,0.03,0.08,25,80,11
Lilian Raolisoa,Angers,Ligue 1,Defender,0.0,0.2,0.2,0.0,0.2,0.05,0.13,0.18,0.05,0.18,33,47,62
